Date,ARM,CHAT,MSFT,NVDA
2023-09-28,8765800,25000,19683600,42466300
2023-09-29,7797500,12500,24140300,39722100
2023-10-02,8857100,41500,20570000,43329800
2023-10-03,4687700,18300,21033500,47085000
2023-10-04,6206500,19300,20720100,36182100
2023-10-05,2984400,14000,16965600,39348300
2023-10-06,4004900,37100,25645500,43339700
2023-10-09,7197700,14500,19891200,40967500
2023-10-10,5138100,19400,20557100,36858200
2023-10-11,4454700,20900,20063200,37813700
2023-10-12,7323100,12900,19313100,48132500
2023-10-13,6454600,22400,21072400,47411500
2023-10-16,3316800,18800,22158000,37509900
2023-10-17,2549700,14400,18338500,81233300
2023-10-18,2268900,13900,23153600,62729400
2023-10-19,4553400,43900,25052100,50123300
2023-10-20,8079700,63800,25012600,47638100
2023-10-23,9979300,39100,24374700,47853000
2023-10-24,7211700,15400,31153600,40146300
2023-10-25,4518800,48300,55053800,39837900
2023-10-26,3555300,22900,37828500,54100100
2023-10-27,2611300,25100,29856500,41678400
2023-10-30,3677700,32600,22828100,38802800
2023-10-31,3248700,27200,20265300,51796900
2023-11-01,3066400,18800,28158800,43759300
2023-11-02,4752700,23000,24348100,40917200
2023-11-03,2538300,24100,23624000,42385500
2023-11-06,2328300,36200,23828300,40073300
2023-11-07,4534200,25500,25833900,34316500
2023-11-08,6128200,21800,26767800,34671900
2023-11-09,15354500,26600,24847300,54049600
2023-11-10,5796700,21000,28042100,42124500
2023-11-13,4525000,26000,19986500,38413600
2023-11-14,3541300,51400,27683900,41695400
2023-11-15,5821800,29400,26860100,47549700
2023-11-16,3291400,21400,27182300,33975600
2023-11-17,3441900,25100,40157000,32520500
2023-11-20,7791000,31500,52465100,41412000
2023-11-21,5615400,28400,28423100,56574700
2023-11-22,15090000,35800,23345300,89942000
2023-11-24,6004900,9400,10176600,29464500
2023-11-27,6681900,34400,22179200,39566200
2023-11-28,4106900,26800,20453100,40149100
2023-11-29,3642400,18600,28963400,38200500
2023-11-30,4833300,26900,30554400,52624700
2023-12-01,5438400,16000,33020400,36880900
2023-12-04,5012200,24400,32063300,43754300
2023-12-05,6666900,20000,23065000,37171800
2023-12-06,5434400,13900,21182100,38059000
2023-12-07,3139100,14500,23118900,35082300
2023-12-08,18797700,18600,20144800,35880300
2023-12-11,7625500,43900,27708800,50972800
2023-12-12,5711700,29800,24838300,37238700
2023-12-13,7024000,24100,30955500,44779200
2023-12-14,11835000,39900,43277500,39123200
2023-12-15,7040100,28000,78478200,47947800
2023-12-18,4744800,61300,21802900,41258700
2023-12-19,3899300,28900,20603700,46444400
2023-12-20,8177600,29000,26316700,39789400
2023-12-21,5407600,28100,17708000,30042500
2023-12-22,5760100,28400,17091100,25213900
2023-12-26,4046600,20200,12673100,24420000
2023-12-27,3802000,24800,14905400,23364800
2023-12-28,9176900,31500,14327000,24658700
2023-12-29,11165200,29000,18723000,38869000
2024-01-02,9771000,50700,25258600,41125400
2024-01-03,7858200,30000,23083500,32089600
2024-01-04,5757600,26800,20901500,30653500
2024-01-05,7337300,16500,20987000,41456800
2024-01-08,9303500,102800,23134000,64251000
2024-01-09,5982000,79200,20830000,77310000
2024-01-10,7450600,33100,25514200,53379600
2024-01-11,6396100,28600,27850800,59675900
2024-01-12,4013600,24800,21645700,35247900
2024-01-16,7090300,79200,27202300,44958000
2024-01-17,7209100,48700,22234100,47439400
2024-01-18,11287500,29600,23392100,49165000
2024-01-19,9944000,98700,29272000,54210300
2024-01-22,7697400,94200,27016900,45295500
2024-01-23,4052500,31200,20525900,29465400
2024-01-24,6972200,96800,24867000,56027100
2024-01-25,8817100,57800,21021200,48277700
2024-01-26,7077100,59500,17803300,39030900
2024-01-29,4318100,37500,24510200,34873300
2024-01-30,4056600,28800,33477600,41073500
2024-01-31,5087300,95200,47871100,45379500
2024-02-01,3476100,47600,30657700,36914600
2024-02-02,4280100,63900,28245000,47578000
2024-02-05,7258100,63700,25352300,68007800
2024-02-06,6899500,83600,18382600,68311100
2024-02-07,22802800,94000,22340500,49557500
2024-02-08,106505700,62300,21225300,41442200
2024-02-09,48096500,79100,22032800,43663700
2024-02-12,111349700,198200,21202900,61371000
2024-02-13,68563900,86600,27824900,60258000
2024-02-14,42519600,79000,20401200,50491700
2024-02-15,34996600,87200,21825500,42012200
2024-02-16,26070600,84100,22281100,49391800
2024-02-20,21117300,93900,24307900,70483300
2024-02-21,22418100,66100,18631100,69029800
2024-02-22,29492400,137400,27009900,86510000
2024-02-23,20317000,143100,16295900,82938800
2024-02-26,26547900,151800,16193500,50397300
2024-02-27,17481300,106200,14835800,39170500
2024-02-28,9682600,89200,13183100,39311000
2024-02-29,10300000,82800,31947300,50728900
2024-03-01,9805300,118200,17800300,47677700
2024-03-04,14295000,185500,17596000,61561600
2024-03-05,9116000,132500,26919200,52063900
2024-03-06,9063300,129700,22344100,58252000
2024-03-07,14306200,107800,18718500,60811900
2024-03-08,14059600,161700,17971700,113299600
2024-03-11,10174800,107500,16120800,67836400
2024-03-12,18220600,86200,22457000,66807500
2024-03-13,9097600,73100,17115900,63571300
2024-03-14,10070900,47400,34157300,60231800
2024-03-15,8866200,85300,45049800,64019300
2024-03-18,6216300,61800,20106000,66897600
2024-03-19,8135400,103600,19837900,67217100
2024-03-20,6861500,68200,17860100,47906300
2024-03-21,7568800,102900,21296200,48037200
2024-03-22,6991400,71200,17636500,58521500
2024-03-25,12928900,77500,18060500,55213600
2024-03-26,21244500,63700,16725600,51364800
2024-03-27,11287000,71400,16690300,58436500
2024-03-28,1847622,9545,2081151,11055797
